CountryOrRegion,Cases,Cases100K,Deaths,CaseFatality,Deaths/100K,Recovered
Honduras,2565,27,138,5.40%,1.44,0
Senegal,2429,16,25,1.00%,0.16,33
Sudan,2289,5,97,4.20%,0.23,0
Bosnia and Herzegovina,2267,68,129,5.70%,3.88,14
Croatia,2224,54,95,4.30%,2.32,38
Bulgaria,2175,31,105,4.80%,1.49,9
Cote d'Ivoire,2061,8,25,1.20%,0.1,7
Cuba,1862,16,79,4.20%,0.7,0
Iceland,1802,510,10,0.60%,2.83,122
Estonia,1770,134,63,3.60%,4.77,11
Guatemala,1763,10,33,1.90%,0.19,0
North Macedonia,1762,85,98,5.60%,4.7,11
Lithuania,1534,55,55,3.60%,1.97,9
New Zealand,1499,31,21,1.40%,0.43,0
Slovakia,1493,27,28,1.90%,0.51,14
Slovenia,1465,71,103,7.00%,4.98,0
Congo (Kinshasa),1455,2,61,4.20%,0.07,0
Somalia,1357,9,55,4.10%,0.37,0
Djibouti,1331,140,4,0.30%,0.42,0
Tajikistan,1322,15,36,2.70%,0.4,-1
Gabon,1320,62,11,0.80%,0.52,0
El Salvador,1265,19,26,2.10%,0.4,0
Kyrgyzstan,1117,18,14,1.30%,0.22,0
Maldives,1078,210,4,0.40%,0.78,0
Tunisia,1037,9,45,4.30%,0.39,2
Latvia,997,52,19,1.90%,0.99,14
Guinea-Bissau,969,51,4,0.40%,0.21,-1
Sri Lanka,960,4,9,0.90%,0.04,53
Kosovo,944,51,29,3.10%,1.57,0
Albania,933,33,31,3.30%,1.08,6
Cyprus,914,77,17,1.90%,1.43,6
Lebanon,902,13,26,2.90%,0.38,47
Niger,889,4,51,5.70%,0.23,0
Costa Rica,853,17,10,1.20%,0.2,6
Mali,835,4,48,5.70%,0.25,-1
Kenya,830,2,50,6.00%,0.1,0
Burkina Faso,782,4,51,6.50%,0.26,15
Paraguay,778,11,11,1.40%,0.16,0
Andorra,761,988,51,6.70%,66.23,11
Uruguay,733,21,19,2.60%,0.55,0
Diamond Princess,712,0,13,1.80%,0,-1
Georgia,683,18,12,1.80%,0.32,12
Zambia,679,4,7,1.00%,0.04,0
San Marino,653,1933,41,6.30%,121.36,40
Jordan,607,6,9,1.50%,0.09,11
Equatorial Guinea,594,45,7,1.20%,0.53,0
Malta,546,113,6,1.10%,1.24,19
Jamaica,517,18,9,1.70%,0.31,16
Tanzania,509,1,21,4.10%,0.04,0
Venezuela,504,2,10,2.00%,0.03,30
Chad,474,3,50,10.50%,0.32,0
Sierra Leone,462,6,29,6.30%,0.38,-1
Taiwan*,440,2,7,1.60%,0.03,486
Congo (Brazzaville),391,8,15,3.80%,0.29,0
Haiti,358,3,20,5.60%,0.18,0
Mauritius,332,26,10,3.00%,0.79,0
Cabo Verde,328,60,3,0.90%,0.55,0
Montenegro,324,52,9,2.80%,1.45,0
Ethiopia,306,0,5,1.60%,0,8
Togo,298,4,11,3.70%,0.14,4
South Sudan,236,2,4,1.70%,0.04,-1
Sao Tome and Principe,235,111,7,3.00%,3.32,-1
Liberia,223,5,20,9.00%,0.42,0
Burma,182,0,6,3.30%,0,-1
Yemen,122,0,18,14.80%,0,-1
Guyana,117,15,10,8.50%,1.28,0
Trinidad and Tobago,116,8,8,6.90%,0.58,3
Bahamas,96,0,11,11.50%,0,-1
Monaco,96,248,4,4.20%,10.34,2
Barbados,86,30,7,8.10%,2.44,0
Malawi,65,0,3,4.60%,0.02,-1
Libya,65,1,3,4.60%,0.04,-1
Syria,51,0,3,5.90%,0,0
Zimbabwe,42,0,4,9.50%,0.03,0
Mauritania,40,1,4,10.00%,0.09,0
Nicaragua,25,0,8,32.00%,0.12,0
Antigua and Barbuda,25,26,3,12.00%,3.12,0
